cond,i,t_start_ms,t_end_ms,latency_ms,out_chars,out_bytes,parse_ok
B,59,38531149,38535965,4816,264,740,
A,60,38536069,38539755,3685,326,462,1
B,60,38539856,38543913,4057,226,572,
A,61,38544017,38546476,2459,174,262,1
B,61,38546579,38551918,5338,310,886,
A,62,38552020,38554489,2468,174,262,1
B,62,38554595,38558828,4233,229,635,
A,63,38558929,38562656,3726,326,462,1
B,63,38562756,38567031,4274,244,680,
A,64,38567131,38570873,3742,326,462,1
B,64,38570974,38574230,3256,178,482,
A,65,38574335,38576807,2472,174,262,1
B,65,38576910,38580177,3266,179,485,
A,66,38580279,38583986,3706,326,462,1
B,66,38584088,38589363,5275,294,830,
A,67,38589467,38593180,3712,326,462,1
B,67,38593283,38597602,4318,246,686,
A,68,38597705,38601461,3755,326,462,1
B,68,38601566,38605226,3660,202,554,
A,69,38605330,38609072,3742,326,462,1
B,69,38609173,38615981,6808,385,1103,
A,70,38616083,38618535,2452,174,262,1
B,70,38618637,38622414,3777,211,581,
A,71,38622515,38626251,3736,326,462,1
B,71,38626353,38630450,4097,234,650,
A,72,38630554,38634273,3719,326,462,1
B,72,38634373,38639853,5479,318,824,
A,73,38639957,38643703,3745,326,462,1
B,73,38643806,38647181,3375,186,506,
A,74,38647282,38650970,3687,326,462,1
B,74,38651074,38655634,4560,264,710,
A,75,38655734,38659476,3741,326,462,1
B,75,38659576,38664685,5108,282,802,
A,76,38664789,38668524,3734,326,462,1
B,76,38668626,38672448,3821,212,584,
A,77,38672550,38675006,2455,174,262,1
B,77,38675109,38679857,4748,259,725,
A,78,38679959,38683689,3730,326,462,1
B,78,38683792,38689012,5220,309,883,
A,79,38689115,38692849,3734,326,462,1
B,79,38692952,38698103,5150,296,836,
A,80,38698203,38700693,2490,174,262,1
B,80,38700795,38704424,3629,199,545,
A,81,38704526,38708274,3747,326,462,1
B,81,38708377,38711445,3067,167,449,
A,82,38711546,38714015,2469,174,262,1
B,82,38714118,38717948,3830,210,578,
A,83,38718051,38720504,2453,174,262,1
B,83,38720606,38725767,5160,297,847,
A,84,38725871,38729609,3737,326,462,1
B,84,38729713,38734642,4928,294,804,
A,85,38734744,38738462,3718,326,462,1
B,85,38738564,38742665,4100,229,635,
A,86,38742767,38746470,3702,326,462,1
B,86,38746573,38751851,5278,290,740,
A,87,38751955,38754435,2479,174,262,1
B,87,38754535,38758027,3492,200,548,
A,88,38758131,38761896,3764,326,462,1
B,88,38761998,38767154,5155,304,860,
A,89,38767257,38770991,3734,326,462,1
B,89,38771095,38775055,3960,218,602,
A,90,38775158,38778876,3718,326,462,1
B,90,38778977,38783006,4028,228,632,
A,91,38783106,38786859,3753,326,462,1
B,91,38786963,38791068,4105,235,653,
A,92,38791169,38794872,3703,326,462,1
B,92,38794973,38800605,5632,311,889,
A,93,38800707,38803207,2500,174,262,1
B,93,38803319,38807754,4435,254,710,
A,94,38807859,38811635,3776,326,462,1
B,94,38811735,38815233,3497,193,527,
A,95,38815334,38819095,3761,326,462,1
B,95,38819197,38823715,4518,245,683,
A,96,38823817,38827556,3739,326,462,1
B,96,38827657,38831002,3344,184,500,
A,97,38831102,38833573,2470,174,262,1
B,97,38833676,38841055,7378,416,1204,
A,98,38841158,38844903,3745,326,462,1
B,98,38845008,38848411,3403,182,502,
A,99,38848512,38850969,2456,174,262,1
B,99,38851071,38855279,4208,239,665,
A,100,38855383,38859099,3716,326,462,1
B,100,38859200,38864975,5774,334,958,
